timestamp_ms,raw_x_ut,raw_y_ut,raw_z_ut,cal_x_ut,cal_y_ut,cal_z_ut
6513,-18.2739,-23.2239,-38.7451,-6.9325,0.0943,-16.1020
6523,-18.2190,-23.4314,-38.9038,-6.8845,-0.0763,-16.2302
6533,-18.3044,-23.2971,-38.6963,-6.9555,0.0365,-16.0644
6543,-18.2861,-23.4619,-38.7817,-6.9375,-0.0980,-16.1341
6553,-18.3105,-23.2666,-38.7512,-6.9602,0.0604,-16.1070
6563,-18.3044,-23.3887,-38.5498,-6.9555,-0.0352,-15.9508
6573,-18.2617,-23.4558,-38.6047,-6.9205,-0.0909,-15.9953
6583,-18.3594,-23.3765,-38.5315,-6.9987,-0.0242,-15.9356
6593,-18.2800,-23.6023,-38.5864,-6.9325,-0.2085,-15.9829
6603,-18.2922,-23.5657,-38.8245,-6.9400,-0.1822,-16.1691
6613,-18.3167,-23.5168,-38.9160,-6.9589,-0.1437,-16.2400
6623,-18.2739,-23.5352,-38.6597,-6.9281,-0.1555,-16.0395
6633,-18.3044,-23.6023,-38.6963,-6.9503,-0.2096,-16.0689
6643,-18.1641,-23.5962,-38.4033,-6.8443,-0.2028,-15.8403
6653,-18.3411,-23.5840,-38.8611,-6.9773,-0.1967,-16.1976
6663,-18.2434,-23.5229,-38.6719,-6.9044,-0.1463,-16.0492
6673,-18.3777,-23.7732,-38.7573,-7.0037,-0.3471,-16.1185
6683,-18.3350,-23.7854,-38.7390,-6.9704,-0.3574,-16.1048
6693,-18.2434,-23.7976,-38.5986,-6.9005,-0.3668,-15.9957
6703,-18.3228,-23.9197,-38.5986,-6.9602,-0.4639,-15.9967
6713,-18.2312,-24.0295,-38.8672,-6.8842,-0.5580,-16.2101
6723,-18.3044,-23.6755,-38.7085,-6.9489,-0.2689,-16.0795
6733,-18.1152,-23.7061,-38.7939,-6.8003,-0.2980,-16.1491
6743,-18.1885,-23.6267,-38.4460,-6.8623,-0.2277,-15.8740
6753,-18.1946,-23.6450,-38.8733,-6.8622,-0.2486,-16.2096
6763,-18.1580,-23.7793,-38.5315,-6.8351,-0.3525,-15.9437
6773,-18.1030,-23.7549,-38.6414,-6.7916,-0.3354,-16.0302
6783,-18.1091,-23.6633,-38.4583,-6.7999,-0.2587,-15.8850
6793,-18.1885,-23.7000,-38.6475,-6.8589,-0.2897,-16.0332
6803,-18.1030,-23.7061,-38.3545,-6.7955,-0.2918,-15.8043
6813,-18.0725,-23.5474,-38.3545,-6.7745,-0.1643,-15.8023
6823,-18.0298,-23.7122,-38.2385,-6.7397,-0.2963,-15.7141
6833,-18.1824,-23.5413,-38.5254,-6.8582,-0.1600,-15.9351
6843,-18.1030,-23.7427,-38.4644,-6.7937,-0.3229,-15.8910
6853,-18.0908,-23.6328,-38.3545,-6.7873,-0.2329,-15.8033
6863,-18.1824,-23.6511,-38.3179,-6.8586,-0.2456,-15.7739
6873,-18.1030,-23.8281,-38.5437,-6.7914,-0.3930,-15.9546
6883,-18.1641,-23.6389,-38.3972,-6.8437,-0.2372,-15.8362
6893,-18.1946,-23.7488,-38.3667,-6.8659,-0.3249,-15.8135
6903,-18.0969,-23.6938,-38.5620,-6.7887,-0.2851,-15.9670
6913,-18.2312,-23.7244,-38.5681,-6.8926,-0.3075,-15.9708
6923,-18.1763,-23.8342,-38.5864,-6.8478,-0.3973,-15.9874
6933,-18.1702,-23.7671,-38.5742,-6.8443,-0.3431,-15.9769
6943,-18.1946,-23.7793,-38.4949,-6.8640,-0.3513,-15.9145
6953,-18.1885,-23.7854,-38.5498,-6.8585,-0.3572,-15.9578
6963,-18.2373,-23.8647,-38.2446,-6.8984,-0.4159,-15.7189
6973,-18.2373,-23.8770,-38.3850,-6.8967,-0.4278,-15.8293
6983,-18.2007,-23.8770,-38.3728,-6.8684,-0.4282,-15.8201
6993,-18.2617,-23.8708,-38.2080,-6.9177,-0.4198,-15.6900
7003,-18.3411,-23.7732,-38.2202,-6.9810,-0.3399,-15.6973
7013,-18.1946,-24.0234,-38.4155,-6.8607,-0.5471,-15.8558
7023,-18.1946,-23.7793,-38.2629,-6.8665,-0.3479,-15.7325
7033,-18.1580,-23.6755,-38.3972,-6.8383,-0.2668,-15.8368
7043,-18.2251,-23.7732,-38.5498,-6.8872,-0.3467,-15.9572
7053,-18.2617,-23.9319,-38.2996,-6.9157,-0.4704,-15.7627
7063,-18.1885,-23.6816,-38.2019,-6.8640,-0.2684,-15.6832
7073,-18.2556,-23.8098,-38.4766,-6.9111,-0.3746,-15.9000
7083,-18.2251,-23.6572,-38.2324,-6.8926,-0.2485,-15.7064
7093,-18.2495,-23.9380,-38.2446,-6.9067,-0.4747,-15.7198
7103,-18.3167,-23.7732,-38.2996,-6.9611,-0.3415,-15.7598
7113,-18.1702,-23.8831,-38.5986,-6.8421,-0.4370,-15.9978
7123,-18.2251,-23.8281,-38.3850,-6.8881,-0.3886,-15.8287
7133,-18.3350,-23.9319,-38.3484,-6.9722,-0.4699,-15.8003
7143,-18.2556,-23.7915,-38.4521,-6.9117,-0.3595,-15.8805
7153,-18.2007,-23.8220,-38.5376,-6.8675,-0.3863,-15.9486
7163,-18.2434,-23.8342,-38.5071,-6.9009,-0.3950,-15.9244
7173,-18.3350,-24.0967,-38.2141,-6.9708,-0.6008,-15.6973
7183,-18.2434,-24.0234,-38.3728,-6.8991,-0.5456,-15.8218
7193,-18.3105,-23.8403,-38.5437,-6.9526,-0.3993,-15.9525
7203,-18.2739,-23.8647,-38.5132,-6.9240,-0.4192,-15.9293
7213,-18.2800,-23.9441,-38.3484,-6.9292,-0.4807,-15.8010
7223,-18.2800,-23.8464,-38.3301,-6.9311,-0.4016,-15.7852
7233,-18.3228,-23.9258,-38.4521,-6.9616,-0.4667,-15.8818
7243,-18.2922,-23.8159,-38.4949,-6.9393,-0.3792,-15.9140
7253,-18.3228,-23.7122,-38.4583,-6.9652,-0.2945,-15.8834
7263,-18.2617,-23.9014,-38.1348,-6.9180,-0.4434,-15.6329
7273,-18.2617,-24.0479,-38.2751,-6.9140,-0.5636,-15.7453
7339,-18.3655,-24.0234,-38.2141,-6.9958,-0.5412,-15.6959
7349,-18.3655,-24.0234,-38.2141,-6.9958,-0.5412,-15.6959
7359,-18.2739,-23.9990,-38.6536,-6.9202,-0.5295,-16.0415
7369,-18.2861,-23.9136,-38.4338,-6.9336,-0.4572,-15.8676
7379,-18.3472,-23.8953,-38.5071,-6.9806,-0.4425,-15.9242
7389,-18.2678,-23.8892,-38.3545,-6.9206,-0.4367,-15.8052
7399,-18.3228,-23.9197,-38.4583,-6.9617,-0.4618,-15.8865
7409,-18.3105,-23.9563,-38.6780,-6.9492,-0.4948,-16.0596
7419,-18.3350,-23.9990,-38.5620,-6.9687,-0.5272,-15.9689
7429,-18.2922,-23.7305,-38.6536,-6.9391,-0.3126,-16.0373
7439,-18.3044,-23.7915,-38.5620,-6.9485,-0.3603,-15.9662
7449,-18.2373,-23.9929,-38.4277,-6.8943,-0.5219,-15.8645
7459,-18.3105,-23.8586,-38.3301,-6.9546,-0.4110,-15.7851
7469,-18.3533,-23.7366,-38.3667,-6.9895,-0.3123,-15.8116
7479,-18.4021,-24.0662,-38.3606,-7.0220,-0.5772,-15.8111
7489,-18.2983,-23.7976,-38.3301,-6.9462,-0.3619,-15.7843
7499,-18.2312,-23.7793,-38.4521,-6.8929,-0.3501,-15.8806
7509,-18.3472,-23.6694,-38.5010,-6.9845,-0.2602,-15.9161
7519,-18.1641,-23.9807,-38.4705,-6.8371,-0.5140,-15.8987
7529,-18.2800,-23.9563,-38.2385,-6.9302,-0.4889,-15.7150
7539,-18.2739,-23.9136,-38.2629,-6.9259,-0.4549,-15.7336
7549,-18.2983,-23.7183,-38.4216,-6.9465,-0.2993,-15.8550
7559,-18.3472,-23.7366,-38.4277,-6.9841,-0.3133,-15.8596
7569,-18.2129,-23.7915,-38.4216,-6.8788,-0.3598,-15.8570
7579,-18.2617,-23.7793,-38.3423,-6.9178,-0.3480,-15.7940
7589,-18.2373,-23.8037,-38.0737,-6.9013,-0.3641,-15.5839
7599,-18.2434,-23.7976,-38.3789,-6.9029,-0.3636,-15.8233
7609,-18.2190,-23.8525,-38.4644,-6.8820,-0.4096,-15.8914
7619,-18.3411,-23.8159,-38.5437,-6.9768,-0.3791,-15.9518
7629,-18.3228,-23.8953,-38.4888,-6.9618,-0.4426,-15.9101
7639,-18.4082,-23.7915,-38.5010,-7.0299,-0.3576,-15.9172
7649,-18.3533,-23.7976,-38.4766,-6.9873,-0.3631,-15.8987
7659,-18.2861,-23.8342,-38.6475,-6.9326,-0.3963,-16.0341
7669,-18.3533,-23.9685,-38.3301,-6.9860,-0.4988,-15.7862
7679,-18.2678,-23.8464,-38.5864,-6.9188,-0.4056,-15.9866
7689,-18.2190,-23.8525,-38.6414,-6.8801,-0.4121,-16.0303
7699,-18.2861,-23.9075,-38.2385,-6.9358,-0.4494,-15.7142
7709,-18.3289,-23.7610,-38.3789,-6.9700,-0.3326,-15.8218
7719,-18.3289,-23.7305,-38.5132,-6.9691,-0.3099,-15.9267
7729,-18.3228,-23.6755,-38.3667,-6.9668,-0.2636,-15.8110
7739,-18.2312,-23.7305,-38.5925,-6.8922,-0.3128,-15.9901
7749,-18.2556,-23.7244,-38.3789,-6.9136,-0.3043,-15.8221
7759,-18.2861,-23.9319,-38.6475,-6.9309,-0.4751,-16.0356
7769,-18.3350,-23.8953,-38.4583,-6.9716,-0.4419,-15.8860
