timestamp_ms,mag_x_ut,mag_y_ut,mag_z_ut
7063,-14.1785,-72.7478,-15.2771
7073,-14.1357,-72.6624,-15.1978
7083,-14.1846,-72.7539,-15.4419
7093,-14.1479,-72.7661,-15.3442
7103,-14.2212,-72.6685,-14.9841
7113,-14.1663,-72.7844,-15.2100
7123,-14.1907,-72.6440,-15.2527
7191,-15.3931,-72.7173,-17.3462
7201,-15.6799,-72.6685,-17.9321
7211,-15.8813,-72.5769,-18.3655
7221,-16.0034,-72.7112,-18.8843
7231,-16.1499,-72.7173,-19.2078
7241,-16.1743,-72.7112,-19.5801
7251,-16.1682,-72.6318,-19.9463
7261,-16.2109,-72.6624,-20.5078
7271,-16.4795,-72.8638,-20.5933
7281,-16.5039,-72.7966,-21.0083
7291,-16.7358,-72.6929,-21.7590
7301,-16.7847,-72.5891,-22.3206
7311,-16.8335,-72.2839,-23.4253
7321,-16.9189,-72.2717,-23.3643
7331,-17.0837,-72.2229,-23.9136
7341,-17.1204,-72.2656,-24.1699
7351,-17.2852,-72.2717,-24.4324
7361,-17.2913,-72.1985,-25.0488
7371,-17.2974,-72.1802,-25.3845
7381,-17.3523,-72.0581,-25.7812
7391,-17.3218,-72.0581,-26.0315
7401,-17.4011,-72.1680,-26.3611
7411,-17.4561,-71.6675,-27.1240
7421,-17.4011,-71.8994,-27.2949
7431,-17.6453,-71.6064,-27.8931
7441,-17.8833,-71.5698,-28.3508
7451,-17.9932,-71.3379,-28.9673
7461,-17.9810,-71.2769,-29.3579
7471,-18.2190,-71.0022,-29.8584
7481,-18.2861,-70.9167,-30.2063
7491,-18.3899,-70.8069,-30.6030
7501,-18.3350,-70.8008,-30.9082
7511,-18.3411,-70.5139,-31.6711
7521,-18.3594,-70.5750,-32.1472
7531,-18.4448,-70.2637,-32.6721
7541,-18.3960,-70.0562,-33.3862
7551,-18.6584,-69.7754,-33.7952
7561,-18.4570,-69.5007,-34.6741
7571,-18.4448,-69.1895,-35.7056
7581,-17.9932,-68.9392,-36.6394
7591,-17.5659,-68.6340,-37.5061
7601,-17.0349,-68.2922,-38.4338
7611,-16.2476,-67.9321,-39.5447
7621,-15.4419,-67.5415,-40.3137
7631,-14.5203,-67.5049,-41.4001
7641,-13.7878,-67.3889,-41.5283
7651,-13.2568,-67.4255,-41.7358
7661,-12.7686,-67.4866,-41.6382
7671,-12.5610,-67.5720,-41.6809
7681,-12.3779,-67.8650,-41.2842
7691,-12.1582,-67.8894,-41.0034
7701,-11.9873,-68.0542,-40.6128
7711,-11.7554,-68.3472,-40.2344
7721,-11.4563,-68.5791,-40.2161
7731,-10.9863,-68.4753,-40.1917
7741,-10.7239,-68.3960,-40.2100
7751,-10.2600,-68.1702,-41.0095
7761,-10.0464,-67.6880,-41.8518
7771,-9.6375,-67.3218,-42.9565
7781,-9.5947,-66.3208,-43.6707
7791,-9.3445,-64.8682,-46.3745
7801,-9.2712,-64.0808,-47.5830
7811,-9.0454,-63.2019,-48.0774
7821,-9.2224,-62.5427,-49.1333
7831,-9.1003,-61.6577,-49.8596
7841,-9.1675,-60.7544,-51.0742
7851,-9.2468,-60.1562,-51.5991
7861,-9.2102,-59.3201,-52.5879
7871,-9.1980,-58.5754,-53.2288
7881,-9.0576,-58.2153,-53.6621
7891,-9.0942,-57.6843,-53.7964
7901,-8.9783,-57.5989,-54.1138
7911,-8.8501,-57.1106,-54.5593
7921,-8.5327,-56.7688,-54.8096
7931,-8.4351,-56.4941,-54.9927
7941,-8.3557,-56.2256,-55.2917
